last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,405395,2021,.258,.459,.325,.305,.202,90,11.8,8.9,
Cabrera, Miguel,408234,2021,.232,.417,.317,.302,.185,91.4,10.6,8.4,
Rivera, Rene,425784,2021,.195,.326,.262,.259,.131,88.5,13,9.3,
Wainwright, Adam,425794,2021,.142,.204,.179,.186,.062,87.3,4,2.3,
Molina, Yadier,425877,2021,.256,.407,.308,.302,.151,88,15,5.6,
Suzuki, Kurt,435559,2021,.205,.302,.258,.271,.097,85,15.1,3.6,
Cruz Jr., Nelson,443558,2021,.267,.516,.369,.346,.248,92.8,11.9,13.8,
Peralta, David,444482,2021,.238,.340,.289,.306,.102,89.7,5.7,5.2,
Pina, Manny,444489,2021,.217,.430,.332,.325,.214,85.9,17.6,11.1,
Escobar, Alcides,444876,2021,.264,.349,.300,.314,.085,82.1,10.5,3.1,
Longoria, Evan,446334,2021,.270,.522,.378,.371,.252,94.2,16.5,14,
Morton, Charlie,450203,2021,.136,.172,.135,.136,.036,81.6,0.3,0,
Cabrera, Asdrubal,452678,2021,.213,.328,.283,.298,.115,87.9,14.9,6.1,
Scherzer, Max,453286,2021,.075,.101,.078,.076,.025,85.4,-6.5,0,
Blackmon, Charlie,453568,2021,.289,.453,.358,.365,.164,87.6,10.2,7.3,
Maldonado, Martin,455117,2021,.186,.311,.271,.287,.125,88.1,17.4,5.7,
Chirinos, Robinson,455139,2021,.191,.358,.292,.295,.168,89.3,21.3,8.2,
Cain, Lorenzo,456715,2021,.244,.374,.314,.324,.129,88.2,7.3,4.8,
Solano, Donovan,456781,2021,.269,.417,.327,.330,.148,87.9,11.2,6.6,
McCutchen, Andrew,457705,2021,.238,.422,.342,.350,.184,88.6,13.9,9.5,
Upton, Justin,457708,2021,.221,.416,.318,.306,.195,90.1,15.6,11.7,
Turner, Justin,457759,2021,.266,.458,.356,.355,.192,90.9,18.9,7.9,
Posey III, Buster,457763,2021,.270,.456,.354,.363,.186,88.2,8.4,8,
Votto, Joey,458015,2021,.274,.582,.404,.380,.308,92.9,16.8,17.7,
