last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,405395,2021,.260,.493,.338,.305,.233,90.9,15.4,9.6,
Cabrera, Miguel,408234,2021,.202,.368,.289,.282,.166,89.5,9.7,9,
Molina, Yadier,425877,2021,.291,.532,.361,.322,.241,90.2,17.3,10.1,
Suzuki, Kurt,435559,2021,.194,.285,.252,.270,.091,84.5,11.4,2.9,
Cruz Jr., Nelson,443558,2021,.245,.502,.360,.325,.258,92,10.3,14.2,
Peralta, David,444482,2021,.245,.356,.288,.302,.111,89.1,4.1,5.6,
Pina, Manny,444489,2021,.237,.482,.361,.357,.245,87.1,12.8,12.2,
Longoria, Evan,446334,2021,.296,.596,.406,.379,.300,95.7,15.8,14.7,
Cabrera, Asdrubal,452678,2021,.254,.439,.351,.366,.185,88.7,17.8,10,
Blackmon, Charlie,453568,2021,.310,.481,.385,.403,.171,88.6,10.8,7.3,
Maldonado, Martin,455117,2021,.195,.304,.256,.268,.109,87.9,16.3,4.8,
Cain, Lorenzo,456715,2021,.244,.405,.329,.340,.161,88.5,8.2,6.3,
Solano, Donovan,456781,2021,.247,.389,.297,.297,.142,86.8,10.7,5.9,
McCutchen, Andrew,457705,2021,.239,.400,.334,.352,.161,88.8,9.8,5.8,
Upton, Justin,457708,2021,.220,.428,.312,.290,.208,92.2,16.7,12.5,
Turner, Justin,457759,2021,.258,.478,.356,.348,.220,91.7,20.4,10.3,
Posey III, Buster,457763,2021,.297,.555,.395,.388,.259,88.6,8,10.7,
Votto, Joey,458015,2021,.273,.541,.377,.347,.268,92.6,13.5,12.3,
Gardner, Brett,458731,2021,.194,.274,.255,.281,.080,85.8,14.4,3.7,
Joyce, Matt,459964,2021,.185,.335,.288,.333,.150,86.3,16.5,8.8,
Andrus, Elvis,462101,2021,.232,.310,.258,.275,.078,87,6.6,1.4,
Sandoval, Pablo,467055,2021,.231,.523,.369,.345,.292,96.1,16.7,16.7,
Ramos, Wilson,467092,2021,.233,.409,.291,.270,.176,90,7.7,9.9,
Santana, Carlos,467793,2021,.249,.497,.378,.383,.248,89.8,14.4,10.3,
Belt, Brandon,474832,2021,.207,.450,.348,.339,.243,90.1,22.4,18.8,
Zimmerman, Ryan,475582,2021,.250,.443,.310,.283,.193,91.2,11.3,9.5,
Lowrie, Jed,476704,2021,.271,.486,.355,.345,.216,91.9,18.5,9.9,
Brantley Jr., Michael,488726,2021,.343,.526,.395,.386,.182,90.8,9.4,7.5,
Castro, Jason,488771,2021,.254,.511,.382,.382,.257,91.5,14.1,15.6,
Gurriel, Yuli,493329,2021,.274,.423,.337,.353,.149,90.4,15.4,4.3,
Rojas, Miguel,500743,2021,.246,.368,.310,.329,.122,87.6,12.7,2.8,
Escobar, Eduardo,500871,2021,.237,.457,.315,.283,.221,88.7,19.3,9.8,
Adrianza, Ehire,501303,2021,.244,.362,.294,.297,.118,85.5,14.7,1.6,
Lagares, Juan,501571,2021,.247,.334,.271,.281,.087,91,5.5,8.3,
Pham, Tommy,502054,2021,.254,.450,.365,.382,.195,89.9,8.6,12,
Martinez, J.D.,502110,2021,.306,.564,.400,.383,.258,92.3,14.7,10.9,
Goldschmidt, Paul,502671,2021,.270,.507,.357,.333,.237,92.9,19.2,11,
