last_name, first_name,player_id,year,p_era,xbadiff,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Perez, Oliver,424144,2022,15.75,.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wainwright, Adam,425794,2022,3.71,-0.009,R,3097,9.4,88,2234,-1.4,-20.1,15.4,1.4,,,,,,,,6.1,82.2,1765,-14.3,-32.4,16.6,1.7,31,72.9,2776,16.1,-67.2,22,1.6,28.1,88.6,2201,-13,-22.7,17.9,1.5,25.4,84.3,2411,6.3,-32.1,9.3,1.6,,,,,,,,,,,,,,,
Greinke, Zack,425844,2022,3.68,.002,R,2272,38.4,89.2,2285,-2.1,-18.4,16.3,1.4,7.4,81.8,2448,8.4,-34.7,11.4,1.5,16.5,86.5,1644,-12.8,-32.6,13.6,1.2,20.3,72,2433,12.5,-64.4,16.9,2,2.2,89.4,2193,-11.7,-24.2,15.4,1.2,15.1,85.8,2372,6.6,-30.8,9.3,1.5,,,,,,,,,,,,,,,
Molina, Yadier,425877,2022,18.00,.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verlander, Justin,434378,2022,1.75,-0.021,R,2607,50.4,95,2423,-9.5,-11.4,21.5,1.3,28.3,87.4,2465,4,-31,6.7,1.4,2.4,86.2,1756,-15.7,-26.5,19,1.4,18.8,79,2643,6.9,-55.3,13.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanchez, Anibal,434671,2022,4.28,-0.033,R,1232,16.6,89.9,2065,-3.7,-17.1,17.2,1.3,6.2,83.2,2174,5.1,-34.6,7.7,1.9,25.6,79.9,1470,-13.4,-35.3,16.2,6.1,5.6,75.4,1953,3,-51.1,4.7,1.9,19.2,89.1,1926,-12.3,-21,18.3,1.4,26.8,87.3,2095,0.2,-23.5,12.6,1.5,,,,,,,,,,,,,,,
Escobar, Alcides,444876,2022,10.80,.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jansen, Kenley,445276,2022,3.38,.023,R,1006,,,,,,,,13.1,81.2,2459,4.6,-47.4,7.9,2.1,,,,,,,,,,,,,,,22.5,93.6,2231,-4.6,-11.8,20,1.5,64.4,92.2,2567,8.4,-15.8,18.6,1.6,,,,,,,,,,,,,,,
Chavez, Jesse,445926,2022,3.76,.001,R,1202,0.7,90.6,2056,-11.7,-20.5,17.6,1.4,,,,,,,,12.9,85.5,1826,-15.8,-35.7,16,1.1,1.7,76.9,2512,15,-51,15.7,1.5,26.2,91.2,1974,-16.5,-25.6,18.1,1.2,58.6,89.1,2223,-1.9,-21.5,13.1,1.1,,,,,,,,,,,,,,,
Detwiler, Ross,446321,2022,4.44,.007,L,471,25.5,92.4,2243,8.8,-15,19.4,1,,,,,,,,2.8,86.8,1468,12.8,-29.9,14.6,1.4,3.4,77,2141,-6.2,-56,11.8,1.3,24.8,91.8,2072,15.4,-22.2,18.6,1.1,43.5,86,2150,-2.3,-32.5,5.5,1.4,,,,,,,,,,,,,,,
