year,last_name, first_name,player_id,team_id,pa,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste
2021,Merrifield, Whit,593160,118,176,618,2,-3,-4,6,3
2021,Taylor, Michael A.,572191,118,130,494,-4,-1,-11,5,3
2021,Lopez, Nicky,670032,118,134,535,-6,-6,-7,6,1
2021,Santana, Carlos,467793,118,172,706,11,2,-3,10,3
2021,Benintendi, Andrew,643217,118,157,608,-4,-4,-5,3,3
2021,Soler, Jorge,624585,118,164,692,5,-3,-3,5,6
2021,Perez, Salvador,521692,118,168,605,6,7,-2,-2,3
2021,Alberto, Hanser,593643,118,81,282,-3,1,-4,-1,1
2021,Dozier, Hunter,641531,118,124,485,-11,-8,-7,3,1
2021,Pham, Tommy,502054,135,134,594,-5,-8,-6,6,4
2021,Profar, Jurickson,595777,135,138,602,-6,-9,-6,7,2
2021,Myers, Wil,571976,135,119,490,1,-3,-3,5,2
2021,Cronenworth, Jake,630105,135,185,714,2,-3,-5,8,2
2021,Hosmer, Eric,543333,135,149,572,6,3,-2,2,3
2021,Machado, Manny,592518,135,185,678,6,4,-7,4,4
2021,Tatis Jr., Fernando,665487,135,112,422,4,3,-3,3,2
2021,Grisham, Trent,663757,135,151,621,5,-1,-3,6,3
2021,Kim, Ha-Seong,673490,135,101,409,-5,-6,-2,1,2
2021,Caratini, Victor,605170,135,101,425,3,5,-7,2,2
2021,Posey, Buster,457763,137,113,443,11,5,0,4,2
2021,Yastrzemski, Mike,573262,137,138,571,1,-1,-7,7,2
2021,Crawford, Brandon,543063,137,133,532,13,4,1,5,3
2021,Longoria, Evan,446334,137,142,582,5,0,-1,4,2
2021,Dickerson, Alex,543105,137,101,383,3,1,-2,0,4
2021,Slater, Austin,596103,137,123,522,-3,-2,-7,3,2
2021,Flores, Wilmer,527038,137,120,467,1,0,-6,5,2
2021,Ruf, Darin,573131,137,88,418,5,3,-4,4,2
2021,Belt, Brandon,474832,137,125,558,7,7,-10,6,4
2021,Dubón, Mauricio,643289,137,101,363,-3,-4,-1,1,0
2021,Tauchman, Mike,643565,137,97,451,2,-5,2,3,2
2021,La Stella, Tommy,600303,137,75,319,1,-5,2,3,1
2021,Arozarena, Randy,668227,139,181,732,8,-4,0,7,5
2021,Kiermaier, Kevin,595281,139,85,320,-6,-2,-6,1,1
2021,Phillips, Brett,621433,139,97,400,-1,-5,2,1,2
2021,Zunino, Mike,572287,139,100,396,7,3,-3,5,2
2021,Adames, Willy,642715,139,142,563,-1,1,-10,7,2
2021,Margot, Manuel,622534,139,148,529,-1,4,-8,1,1
2021,Meadows, Austin,640457,139,178,768,10,2,-6,10,5
2021,Lowe, Brandon,664040,139,170,645,-5,-7,-7,6,2
2021,Brosseau, Mike,670712,139,92,397,-3,-1,-5,1,2
2021,Díaz, Yandy,650490,139,172,652,7,-6,3,5,4
2021,Wendle, Joey,621563,139,146,544,7,3,0,3,2
2021,Locastro, Tim,641796,109,93,314,-4,-2,-5,0,3
2021,Rojas, Josh,668942,109,140,581,0,-4,-2,3,3
2021,Peralta, David,444482,109,168,627,7,5,-8,6,3
2021,Cabrera, Asdrúbal,452678,109,134,515,9,6,-4,5,3
2021,Smith, Pavin,656976,109,168,608,-2,1,-7,2,2
2021,Kelly, Carson,608348,109,109,463,17,3,1,6,6
2021,VanMeter, Josh,642165,109,77,339,-1,0,-7,3,2
2021,Escobar, Eduardo,500871,109,182,727,1,-1,-8,7,3
2021,Ahmed, Nick,605113,109,126,480,-11,-10,-7,4,1
2021,Vogt, Stephen,519390,109,76,339,1,1,-5,3,1
2021,Riley, Austin,663586,144,166,670,7,2,-5,5,5
2021,Freeman, Freddie,518692,144,183,725,10,-2,1,7,3
2021,Adrianza, Ehire,501303,144,76,280,-2,-1,-5,2,2
2021,Ozuna, Marcell,542303,144,192,697,-2,1,-12,6,3
2021,Albies, Ozzie,645277,144,179,714,0,-4,-5,4,4
2021,Acuña Jr., Ronald,660670,144,171,664,14,-4,5,10,3
2021,d'Arnaud, Travis,518595,144,87,316,-5,-4,-6,4,1
2021,Swanson, Dansby,621020,144,177,715,-8,-4,-10,3,3
2021,Franco, Maikel,596748,110,168,612,-5,-5,-5,3,2
2021,Galvis, Freddy,520471,110,139,535,0,-2,-3,4,2
2021,Hays, Austin,669720,110,128,475,3,0,-3,3,3
2021,Mancini, Trey,641820,110,182,704,14,10,-2,1,4
2021,Mountcastle, Ryan,663624,110,163,583,-13,-6,-7,-1,1
2021,Mullins, Cedric,656775,110,186,732,6,-3,-2,7,4
2021,Severino, Pedro,600474,110,121,457,-4,-3,-2,1,1
2021,Stewart, DJ,621466,110,106,422,2,-2,-2,5,2
2021,Ruiz, Rio,547004,110,101,394,-8,-4,-6,2,1
2021,Gonzalez, Marwin,503556,111,146,580,-7,-12,-5,8,2
2021,Bogaerts, Xander,593428,111,174,717,16,1,6,5,4
2021,Renfroe, Hunter,592669,111,136,501,-3,3,-9,2,2
2021,Cordero, Franchy,614173,111,91,356,-1,0,-3,1,1
2021,Arroyo, Christian,624414,111,76,310,-2,0,-5,2,1
2021,Dalbec, Bobby,666915,111,129,507,0,-2,-3,2,2
2021,Martinez, J.D.,502110,111,181,685,23,17,0,4,2
2021,Devers, Rafael,646240,111,171,634,10,5,-4,8,2
2021,Hernández, Enrique,571771,111,133,525,-1,-3,-4,3,2
2021,Vázquez, Christian,543877,111,147,570,-4,-8,-4,7,2
2021,Verdugo, Alex,657077,111,172,675,4,1,-5,4,3
