"","game_pk","play_id","name","gd","ab_num","event","bat_team_id","fld_team_id","ev","la","dist","pull","brl","xban","xbad","hh","bip","v","pt","pn","ab","hit","is_1b","is_2b","is_3b","is_hr","so","bb"
"2","633286","8a7d7bf9-cd83-42f6-b00b-644d19913008","Suzuki Kurt,",2021-07-17,"47","strikeout","108","136","null","null","null","null","null","null","1","0","0","80.5","SL","Slider","1","0","0","0","0","0","1","0"
"3","633286","6676b408-d7d9-4cc3-a4dc-3d91e723ac30","Iglesias Jose,",2021-07-17,"45","fielders_choice_out","108","136","95.7","-12","7","Pull","0","0.23","1","1","1","89.6","FC","Cutter","1","0","0","0","0","0","0","0"
"4","633286","fe1928a0-d62a-46bf-904c-0aa9b6c21b08","Gosselin Phil,",2021-07-17,"44","double","108","136","95.1","18","302","Straightaway","0","0.433","1","1","1","94.0","FF","4-Seam Fastball","1","1","0","1","0","0","0","0"
"5","633286","26cfb6c1-208a-46d5-94ea-b597a42dc3f5","Walsh Jared,",2021-07-17,"43","strikeout","108","136","null","null","null","null","null","null","1","0","0","79.9","SL","Slider","1","0","0","0","0","0","1","0"
"6","633286","dcdaf0e9-0d74-439a-b648-8b78140c213d","Ohtani Shohei,",2021-07-17,"35","strikeout","108","136","null","null","null","null","null","null","1","0","0","82.7","SL","Slider","1","0","0","0","0","0","1","0"
"7","633286","add46740-02b9-4c9c-919e-ce5adf3eddfc","Fletcher David,",2021-07-17,"34","field_out","108","136","83.9","24","303","Pull","0","0.253","1","0","1","89.9","FC","Cutter","1","0","0","0","0","0","0","0"
"8","633286","89290cfd-cf63-476a-959b-d955f9e83ad5","Mayfield Jack,",2021-07-17,"33","home_run","108","136","104.7","30","421","Straightaway","1","0.88","1","1","1","89.5","FC","Cutter","1","1","0","0","0","1","0","0"
"9","633286","e664a0cc-4f36-4063-86d6-3e19a1cca499","Lagares Juan,",2021-07-17,"32","field_out","108","136","92.0","26","344","Pull","0","0.14","1","0","1","83.0","SL","Slider","1","0","0","0","0","0","0","0"
"10","633286","f9fca668-c80f-4221-aaac-c3a04de9b02d","Suzuki Kurt,",2021-07-17,"28","field_out","108","136","73.1","-18","6","Pull","0","0.041","1","0","1","80.6","SL","Slider","1","0","0","0","0","0","0","0"
"11","633286","76f1bde6-8895-4ffc-bfe7-c4e0dcef64cb","Ward Taylor,",2021-07-17,"27","double","108","136","103.0","19","291","Pull","0","0.523","1","1","1","90.9","FC","Cutter","1","1","0","1","0","0","0","0"
"12","633286","2c64004f-1c1c-41e2-948f-57f7a293fd98","Iglesias Jose,",2021-07-17,"26","double","108","136","97.7","18","313","Straightaway","0","0.41","1","1","1","82.7","SL","Slider","1","1","0","1","0","0","0","0"
"13","633286","d2d73105-15ca-4e80-9701-57e046d64f7e","Gosselin Phil,",2021-07-17,"25","field_out","108","136","103.6","1","60","Straightaway","0","0.447","1","1","1","93.3","FF","4-Seam Fastball","1","0","0","0","0","0","0","0"
